Brand,Model,Heel Drop (mm),Stack Height (mm),Weight (g),Carbon Plate,Rocker Type,Support/Stability,Category,Image,AffiliateLink
Asics ,GT2000,8,36.5,270,No,Flat,Stable,Daily Trainer,gt2000.jpg,https://www.sportsshoes.com/product/asi16088/asics-gt-2000-14-men's-running-shoes---ss26
Asics,Gel Nimbus 27,8,43.5,305,No,Moderate,Neutral,Daily Trainer,nimbus27.jpg,https://www.sportsshoes.com/product/asi15835/asics-gel-nimbus-27-men's-running-shoes---aw25
Asics,Gel Noosa 16,5,33.5,215,No,Moderate,Neutral,Tempo,noosa16.jpg,https://www.sportsshoes.com/product/asi15851/asics-noosa-tri-16-men's-running-shoes---aw25
Asics,Superblast 2,8,45,249,No,High,Neutral,Daily Trainer,superblast2.jpg,https://www.sportsshoes.com/product/asi15953/asics-superblast-2-running-shoes
Asics,Glideride Max,6,44,287,No,High,Neutral,Daily Trainer,glideride.jpg,https://www.sportsshoes.com/product/asi15838/asics-glideride-max-men's-running-shoes---aw25
Asics,GT1000 14,8,34.5,265,No,Flat,Stable,Daily Trainer,gt100014.jpg,https://www.sportsshoes.com/product/asi15828/asics-gt-1000-14-men's-running-shoes---aw25
Asics,Metaspeed Tokyo Edge,5,39.5,170,Yes,Moderate,Neutral,Racing,metaspeededgetokyo.jpg,https://www.sportsshoes.com/product/asi15963/asics-metaspeed-edge-tokyo-running-shoes
Asics ,GT4000 4,8,28,310,No,Moderate,Stable,Daily Trainer,gt40004.jpg,https://www.sportsshoes.com/product/asi15823/asics-gt-4000-4-men's-running-shoes---aw25
Asics,Gel Excite 11,8,30,290,No,Moderate,Neutral,Daily Trainer,excite11.jpg,https://www.sportsshoes.com/product/asi15958/asics-gel-excite-11-men's-running-shoes---ss26
Asics,Gel Pulse 16,8,36,240,No,Flat,Neutral,Daily Trainer,pulse16.jpg,https://www.sportsshoes.com/product/asi15847/asics-gel-pulse-16-men's-running-shoes---aw25
